params,rmse_cv
"linReg_474e7531720e-elasticNetParam: 0.5,
	linReg_474e7531720e-regParam: 0.1",0.312583860887098
"linReg_474e7531720e-elasticNetParam: 1.0,
	linReg_474e7531720e-regParam: 0.1",0.3458339289814392
"linReg_474e7531720e-elasticNetParam: 1.0,
	linReg_474e7531720e-regParam: 0.01",0.44657128567690235
"linReg_474e7531720e-elasticNetParam: 0.0,
	linReg_474e7531720e-regParam: 0.1",0.47718175683550895
"linReg_474e7531720e-elasticNetParam: 0.5,
	linReg_474e7531720e-regParam: 0.01",0.48157542692719657
"linReg_474e7531720e-elasticNetParam: 1.0,
	linReg_474e7531720e-regParam: 0.001",0.5650582285145046
"linReg_474e7531720e-elasticNetParam: 0.0,
	linReg_474e7531720e-regParam: 0.01",0.5670416474280929
"linReg_474e7531720e-elasticNetParam: 0.5,
	linReg_474e7531720e-regParam: 0.001",0.5715657080179121
"linReg_474e7531720e-elasticNetParam: 0.0,
	linReg_474e7531720e-regParam: 0.001",0.6005030239844944
