params,rmse_cv
"gbtr_6250ad0f77e9-maxDepth: 3,
	gbtr_6250ad0f77e9-stepSize: 0.1",0.4278886957901748
"gbtr_6250ad0f77e9-maxDepth: 3,
	gbtr_6250ad0f77e9-stepSize: 0.05",0.43202319701332276
"gbtr_6250ad0f77e9-maxDepth: 3,
	gbtr_6250ad0f77e9-stepSize: 0.2",0.4340805282014867
"gbtr_6250ad0f77e9-maxDepth: 5,
	gbtr_6250ad0f77e9-stepSize: 0.2",0.47976593038232984
"gbtr_6250ad0f77e9-maxDepth: 5,
	gbtr_6250ad0f77e9-stepSize: 0.05",0.482046984058489
"gbtr_6250ad0f77e9-maxDepth: 5,
	gbtr_6250ad0f77e9-stepSize: 0.1",0.48218004776636736
"gbtr_6250ad0f77e9-maxDepth: 7,
	gbtr_6250ad0f77e9-stepSize: 0.2",0.508189099724134
"gbtr_6250ad0f77e9-maxDepth: 7,
	gbtr_6250ad0f77e9-stepSize: 0.1",0.5098025078355057
"gbtr_6250ad0f77e9-maxDepth: 7,
	gbtr_6250ad0f77e9-stepSize: 0.05",0.5106555702125779
